0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:32 +0800] "GET /Vortex/UserTable?_=1672562252306 HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:33 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:33 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:35 +0800] "GET /Vortex/view/controlpanel/userEdit.jsp HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:35 +0800] "GET /Vortex/UserTable?_=1672562255433 HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:37 +0800] "GET /Vortex/view/controlpanel/gameTables.jsp HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:37 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:37 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:37 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:42 +0800] "GET /Vortex/view/controlpanel/purchaseTables.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "GET /Vortex/view/controlpanel/userCharts.jsp HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "GET /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "POST /Vortex/GameMediaTable HTTP/1.1" 200 926443
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:37:45 +0800] "GET /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:38:00 +0800] "GET /Vortex/view/controlpanel/userTables.jsp HTTP/1.1" 200 10247
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:38:00 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:38:12 +0800] "GET /Vortex/view/controlpanel/userEdit.jsp HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [01/Jan/2023:16:38:12 +0800] "GET /Vortex/UserTable?_=1672562292519 HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:19 +0800] "GET /Vortex/view/controlpanel/userCharts.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:24 +0800] "POST /Vortex/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:24 +0800] "GET /Vortex/view/controlpanel/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:27 +0800] "GET /Vortex/view/controlpanel/userCharts.jsp HTTP/1.1" 200 13860
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:27 +0800] "POST /Vortex/DeveloperTable HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:27 +0800] "POST /Vortex/GameTable HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:27 +0800] "POST /Vortex/UserTable HTTP/1.1" 200 261707
0:0:0:0:0:0:0:1 - - [01/Jan/2023:17:42:27 +0800] "GET /Vortex/GameTable HTTP/1.1" 200 2723
